,China,Anhui Sheng,Beijing Shi,Chongqing Shi,Fujian Sheng,Gansu Sheng,Guangdong Sheng,Guangxi Zhuangzu Zizhiqu,Guizhou Sheng,Hainan Sheng,Hebei Sheng,Heilongjiang Sheng,Henan Sheng,Hubei Sheng,Hunan Sheng,Jiangsu Sheng,Jiangxi Sheng,Jilin Sheng,Liaoning Sheng,Nei Mongol Zizhiqu,Ningxia Huizu Zizhiqu,Qinghai Sheng,Shaanxi Sheng,Shandong Sheng,Shanghai Shi,Shanxi Sheng,Sichuan Sheng,Tianjin Shi,Xinjiang Uygur Zizhiqu,Xizang Zizhiqu,Yunnan Sheng,Zhejiang Sheng
1901,6.67,14.93,9.7,15.62,17.55,5.24,20.61,20.11,15.22,24.25,8.98,1.54,13.98,15.08,16.5,14.24,17.22,4.62,7.71,3.49,7.73,-2.23,10.37,12.44,15.21,8.08,8.11,12.02,5.14,-2.46,15.48,15.46
1902,6.75,15.75,10.42,15.66,18.14,5.24,21.18,20.58,15.38,24.77,9.71,0.54,14.63,15.4,16.92,15.14,17.78,4.1,7.93,3.38,7.73,-2.37,10.46,13.42,15.98,8.56,7.89,12.89,5.43,-2.57,15.2,16.16
1903,6.57,15.09,9.98,15.6,17.48,5.24,20.45,19.89,15.12,24.02,9.26,1.46,14.18,15.11,16.37,14.53,17.16,4.64,7.91,3.53,7.73,-2.29,10.4,12.8,15.44,8.27,8.02,12.35,4.65,-2.61,15.36,15.51
1904,6.54,15.09,9.94,15.57,17.39,5.21,20.35,19.86,15.1,24.01,9.21,0.68,14.18,15.1,16.34,14.52,17.12,4.14,7.72,3.1,7.7,-2.36,10.37,12.79,15.42,8.24,7.92,12.34,5.34,-2.73,15.22,15.5
1905,6.46,15.3,9.62,15.11,17.89,5.19,20.79,19.98,14.99,24.09,8.96,1.06,13.97,14.82,16.42,14.71,17.44,4.22,7.54,3.35,7.66,-2.37,10.03,12.73,15.76,8.04,7.81,12.04,4.82,-3,15.17,15.93
1906,6.52,15.11,9.24,15.15,17.96,5.19,20.82,19.98,14.99,24.16,8.61,0.74,13.79,14.78,16.4,14.42,17.43,3.7,6.96,3.19,7.66,-2.31,10.01,12.39,15.59,7.86,7.89,11.64,5.27,-2.62,15.35,15.94
1907,6.54,15.24,9.59,15.39,17.8,5.21,20.82,20.12,15.12,24.28,8.94,1.01,14.06,14.97,16.53,14.62,17.45,4.06,7.33,3.37,7.69,-2.34,10.23,12.71,15.63,8.11,7.9,12,4.98,-2.77,15.26,15.84
1908,6.56,15.25,9.24,15.5,17.81,5.2,20.72,20.02,15.13,24.12,8.67,0.81,14.06,15.03,16.51,14.56,17.48,3.71,6.9,3.22,7.68,-2.26,10.28,12.54,15.59,8.03,8.07,11.66,5.13,-2.49,15.43,15.94
1909,6.59,15.38,9.24,15.5,18.11,5.23,21.05,20.27,15.2,24.47,8.68,0.1,14.14,15.12,16.68,14.68,17.68,3.29,6.73,2.93,7.71,-2.19,10.28,12.63,15.8,8.06,8.14,11.69,5.46,-2.49,15.56,16.14
1910,6.3,14.78,8.79,15,17.68,5.16,20.67,19.95,14.95,24.2,8.18,0.08,13.49,14.5,16.21,14.14,17.19,3.11,6.49,2.74,7.41,-2.3,9.7,12.12,15.27,7.34,7.9,11.25,5.16,-2.78,15.29,15.61
1911,6.39,14.95,8.8,15.19,17.73,5.17,20.69,20.01,15.03,24.24,8.22,0.57,13.6,14.7,16.35,14.31,17.31,3.56,6.7,2.88,7.38,-2.34,9.75,12.21,15.44,7.33,7.87,11.27,5.29,-2.78,15.2,15.78
1912,6.38,15.05,9.03,15.37,17.67,5.18,20.72,19.96,15.05,24.11,8.46,-0.13,13.88,14.87,16.4,14.39,17.33,3.11,6.53,2.81,7.66,-2.36,10.15,12.36,15.44,7.89,7.88,11.44,5.3,-2.75,15.25,15.73
1913,6.38,14.99,9.08,15.38,17.68,5.22,20.62,19.87,15.01,23.99,8.52,0.28,13.84,14.8,16.35,14.26,17.3,3.36,6.6,3.11,7.71,-2.38,10.22,12.26,15.31,7.91,7.84,11.43,5.09,-2.93,15.19,15.68
1914,6.86,15.95,9.98,15.96,18.22,5.26,21.28,20.57,15.44,24.67,9.37,1.24,14.69,15.7,17.14,15.41,18.06,4.45,7.82,3.53,7.71,-2.33,10.57,13.38,16.36,8.41,8.02,12.49,5.64,-2.76,15.27,16.48
1915,6.58,15.52,8.88,15.53,18.41,5.21,21.38,20.47,15.29,24.66,8.4,-0.67,14.16,15.27,16.9,14.84,17.92,2.62,6.34,2.54,7.59,-2.18,10.15,12.65,16.07,7.87,8.15,11.46,5.75,-2.31,15.57,16.4
1916,6.51,15.1,9.17,15.18,17.92,5.02,20.75,20,15.12,24.09,8.51,0.64,13.71,14.72,16.33,14.5,17.4,3.65,6.93,2.87,7.1,-2.25,9.69,12.46,15.68,7.52,8.18,11.63,5.35,-2.48,15.73,15.98
1917,6.38,14.7,8.83,15.21,17.13,5.07,20.23,19.68,14.96,23.75,8.23,0.59,13.55,14.57,16.09,14.01,16.95,3.36,6.44,2.84,7.13,-2.28,9.76,12.08,14.97,7.4,8.04,11.27,5.61,-2.92,15.4,15.25
1918,6.4,14.97,9.05,15.2,17.48,4.92,20.53,19.91,15.07,24.01,8.41,0.76,13.61,14.65,16.3,14.4,17.21,3.76,6.94,2.96,6.75,-2.29,9.54,12.36,15.42,7.36,8.01,11.53,5.15,-2.7,15.4,15.63
1919,6.66,15.48,9.59,15.69,17.89,5.19,21,20.29,15.4,24.32,8.97,0.66,14.25,15.24,16.77,14.86,17.68,3.93,7.26,3.21,7.53,-2.16,10.27,12.87,15.83,8.06,8.37,12.05,5.15,-2.57,15.92,15.99
1920,6.62,15.48,9.96,15.55,17.8,5.23,20.82,20.1,15.24,24.19,9.27,1.1,14.32,15.19,16.57,14.97,17.53,4.36,7.67,3.44,7.73,-2.25,10.33,13.08,15.93,8.24,8.19,12.4,4.71,-2.59,15.63,16
1921,6.68,15.19,9.49,15.62,17.85,5.09,20.94,20.39,15.49,24.35,8.82,1.1,13.94,14.97,16.67,14.55,17.52,4.15,7.33,3.28,7.29,-2.26,10.04,12.64,15.61,7.83,8.3,11.94,5.27,-2.34,15.85,15.88
1922,6.8,15.68,9.71,16,18.12,5.37,21.31,20.65,15.73,24.66,9.07,-0.08,14.49,15.51,17.05,14.98,17.88,3.39,7.02,2.98,8.01,-2.14,10.6,12.97,16.01,8.34,8.51,12.14,5.69,-2.31,16.06,16.22
1923,6.83,15.54,9.44,16.26,17.98,5.53,21.4,20.89,15.96,24.91,8.87,0.46,14.49,15.66,17.27,14.73,17.85,3.59,6.85,3.09,8.15,-2.1,10.77,12.74,15.75,8.32,8.66,11.85,5.47,-2.36,16.1,16.09
1924,6.77,15.35,9.64,16.03,18,5.45,21.32,20.67,15.73,24.69,9.02,0.28,14.38,15.39,17.01,14.55,17.71,3.57,7.04,3.17,8.1,-2.12,10.67,12.79,15.56,8.35,8.56,12.06,5.41,-2.36,16.05,15.88
1925,6.75,15.41,9.49,15.85,17.67,5.38,20.8,20.13,15.31,24.09,8.92,1.43,14.38,15.42,16.84,14.55,17.61,4.26,7.28,3.6,7.89,-2.3,10.55,12.65,15.48,8.18,8.2,11.88,5.6,-2.85,15.36,15.74
1926,6.86,15.64,9.71,16.15,17.99,5.35,21.11,20.54,15.77,24.38,9.1,1.11,14.44,15.52,17.03,14.86,17.85,4.1,7.28,3.55,7.83,-2.14,10.6,12.88,15.83,8.25,8.69,12.11,5.49,-2.63,16.06,16.08
1927,6.81,15.76,9.82,16.18,17.75,5.38,21,20.52,15.77,24.39,9.2,0.89,14.61,15.65,17.03,15.05,17.79,4.01,7.38,3.35,7.86,-2.19,10.68,13.09,15.95,8.38,8.62,12.27,5.41,-2.67,15.9,16.05
1928,6.79,15.74,9.78,16.33,18.18,5.45,21.41,20.68,15.91,24.68,9.15,0.54,14.68,15.76,17.28,14.84,18.05,3.7,7.17,3.13,8.24,-2.13,10.95,12.97,15.8,8.54,8.77,12.21,4.97,-2.31,16.09,16.11
1929,6.65,15.6,9.72,15.92,18.19,5.28,21.39,20.62,15.67,24.7,9.07,0.49,14.38,15.38,16.98,14.86,17.94,3.77,7.28,3.17,7.76,-2.22,10.46,12.91,15.92,8.21,8.47,12.17,4.73,-2.49,15.97,16.18
1930,6.72,15.52,10.01,15.81,18.32,5.36,21.26,20.42,15.54,24.48,9.33,1.06,14.34,15.27,16.83,14.88,17.86,4.36,7.7,3.47,8.02,-2.21,10.54,13.07,16.02,8.35,8.43,12.43,4.79,-2.61,15.83,16.28
1931,6.67,15.15,9.53,15.98,18.16,5.46,21.39,20.78,15.87,24.85,8.9,0.09,14.15,15.15,16.78,14.42,17.59,3.29,6.88,3.1,8.03,-2.09,10.53,12.65,15.5,8.14,8.74,11.93,4.88,-2.29,16.28,15.91
1932,6.99,15.5,9.94,16.15,17.86,5.76,21.04,20.3,15.56,24.35,9.36,1.5,14.68,15.6,16.9,14.83,17.66,4.55,7.79,3.92,8.43,-1.97,10.97,13.08,15.76,8.65,8.66,12.33,5.36,-2.35,15.8,15.97
1933,6.82,15.44,9.3,16.17,18.23,5.74,21.33,20.64,15.89,24.61,8.72,0.85,14.23,15.37,16.91,14.71,17.81,3.83,7.04,3.28,8.07,-1.8,10.62,12.61,15.82,8.06,8.93,11.72,5.23,-2.59,16.18,16.23
1934,6.57,15.48,9.25,15.79,17.95,5.19,20.85,20.16,15.45,24.07,8.67,1.39,14.1,15.19,16.66,14.82,17.64,4.05,7.12,3.33,7.5,-2.2,10.22,12.63,15.87,7.86,8.45,11.7,4.45,-2.51,15.82,16.14
1935,6.93,16.06,10.23,16.13,18.57,5.48,21.57,20.76,15.84,24.74,9.55,1.11,14.68,15.7,17.23,15.44,18.3,4.45,7.97,3.61,7.91,-1.84,10.63,13.4,16.47,8.49,8.68,12.7,4.76,-2.28,16.1,16.67
1936,6.38,15.31,9.04,15.53,18.03,4.9,20.98,19.99,15.11,24.04,8.44,0.37,14.1,15.22,16.72,14.42,17.73,3.23,6.49,2.67,7.34,-2.32,10.07,12.24,15.44,7.73,8.02,11.46,4.76,-2.47,15.48,15.93
1937,6.67,15.83,9.93,15.92,18.62,5.2,21.67,20.74,15.73,24.76,9.31,0.3,14.6,15.52,17.11,15.22,18.17,3.77,7.42,3.02,7.94,-1.99,10.61,13.23,16.31,8.45,8.51,12.48,4.38,-2.27,16.05,16.57
1938,7.03,16.15,10.18,16.18,18.68,5.52,21.61,20.63,15.72,24.53,9.55,1.31,14.99,15.98,17.46,15.31,18.45,4.35,7.63,3.74,8.21,-1.79,11.01,13.31,16.35,8.78,8.56,12.63,5.13,-2.22,15.72,16.68
1939,7.09,15.91,10.37,16.12,18.19,5.85,21.36,20.45,15.58,24.34,9.71,1.53,14.89,15.83,17.2,15.24,18.05,4.69,8.08,3.95,8.41,-1.65,11.02,13.47,16.08,8.79,8.61,12.84,5.39,-2.37,15.59,16.12
1940,7.06,15.94,10.15,16.15,18.29,5.82,21.55,20.66,15.71,24.64,9.5,0.79,14.9,15.92,17.37,15.14,18.19,4.05,7.47,3.54,8.36,-1.67,10.96,13.26,15.97,8.73,8.53,12.58,5.85,-2.42,15.62,16.25
1941,7.37,16.26,10.33,16.6,18.85,6.5,21.74,20.75,15.96,24.86,9.74,0.01,15.28,16.28,17.54,15.42,18.46,3.62,7.53,3.58,8.95,-1.05,11.49,13.55,16.36,9.11,9.05,12.81,6.37,-1.95,15.99,16.76
1942,7.16,16.01,10.35,16.61,18.53,5.98,21.55,20.8,16.12,24.72,9.73,0.48,15.09,16.12,17.46,15.23,18.2,4.01,7.66,3.65,8.57,-1.48,11.3,13.42,16.12,9.02,9.06,12.74,5.43,-2.05,16.27,16.46
1943,7.06,15.93,10.47,16.18,18.42,5.46,21.48,20.71,15.81,24.65,9.8,1.73,14.86,15.84,17.37,15.12,18.08,4.68,7.99,3.92,8.11,-1.89,10.91,13.44,16.06,8.79,8.6,12.88,5.14,-2.23,15.87,16.25
1944,6.71,15.74,9.83,15.58,18.36,4.97,21.17,20.15,15.2,24.2,9.18,1.04,14.43,15.35,16.8,14.96,17.88,4.07,7.51,3.31,7.55,-2.02,10.3,13.03,15.96,8.16,8.2,12.29,4.92,-2.19,15.55,16.28
1945,6.91,15.7,10.14,16.34,17.81,5.95,20.77,20.23,15.71,23.87,9.55,0.31,15.04,15.92,16.98,14.79,17.58,3.39,7.23,3.61,8.58,-1.42,11.26,13.17,15.69,8.92,8.8,12.51,5.1,-2.31,15.85,16.03
1946,7.4,16.38,10.44,16.8,19.06,6.3,22,21.28,16.52,24.89,9.82,1.05,15.2,16.32,17.87,15.5,18.69,4.39,7.9,3.86,8.79,-1.05,11.42,13.59,16.57,9.02,9.36,12.92,5.41,-1.86,16.52,16.98
1947,6.79,15.76,8.77,16.28,18.05,5.69,20.92,20.22,15.66,24.04,8.36,0.46,14.71,15.92,17.1,14.72,17.95,3,6.23,2.64,8.31,-1.39,10.96,12.48,15.67,8.14,8.84,11.33,5.25,-1.93,15.94,16.26
1948,7.18,16.22,10.37,16.09,18.51,5.89,21.35,20.44,15.58,24.43,9.73,2.21,14.99,15.92,17.25,15.55,18.25,4.89,8.03,4.19,8.43,-1.55,11.05,13.6,16.45,8.77,8.57,12.82,5.32,-2.35,15.61,16.7
1949,6.92,16.01,10.1,16.1,18.47,5.39,21.58,20.7,15.68,24.76,9.49,1.7,14.76,15.81,17.35,15.2,18.25,4.64,7.95,3.82,7.97,-2.02,10.75,13.33,16.16,8.49,8.44,12.58,4.85,-2.49,15.67,16.55
1950,6.64,15.75,9.95,15.59,18.43,5.13,21.34,20.2,15.12,24.35,9.23,0.9,14.4,15.39,16.85,15.08,18.12,4.32,7.84,3.55,7.73,-2.21,10.43,13.11,16.16,8.23,8.11,12.37,4.62,-2.6,15.42,16.46
1951,6.71,15.59,9.64,15.74,18.26,5.24,20.93,20.01,15.25,24.03,9.05,1.22,14.28,15.33,16.66,14.9,17.77,4.35,7.7,3.52,7.73,-2.31,10.41,12.9,16.01,8.13,8.2,12.09,5.03,-2.39,15.48,16.29
1952,6.55,15.34,9.3,15.78,18.42,5.18,21.48,20.51,15.44,24.7,8.71,0.15,14.12,15.21,16.73,14.65,17.75,3.79,7.33,2.87,7.72,-2.13,10.38,12.55,15.84,7.92,8.39,11.77,4.64,-2.22,15.76,16.24
1953,7.05,16.22,9.72,16.09,18.54,5.92,21.37,20.34,15.46,24.48,9.17,0.91,14.79,15.79,17.07,15.6,18.19,4.05,7.46,3.52,8.39,-1.7,10.92,13.19,16.67,8.41,8.66,12.18,5.59,-2.06,15.76,16.82
1954,6.37,15.26,9.27,15.42,18.48,5.09,21.32,20.11,15.01,24.47,8.6,0.61,13.87,14.96,16.52,14.58,17.77,3.56,7.03,2.74,7.49,-2.04,10.13,12.46,15.78,7.7,8.33,11.71,4.09,-2.3,15.35,16.2
1955,6.76,15.69,10.17,15.66,18.15,5.3,21.19,20.11,15.06,24.4,9.41,1.08,14.46,15.41,16.78,15.03,17.85,4.42,7.78,3.47,7.79,-2.32,10.57,13.16,16.08,8.46,8.22,12.56,5.32,-2.52,15.14,16.27
1956,6.25,14.98,8.81,15.38,18.13,4.9,21.03,19.87,14.86,24.15,8.14,-0.28,13.61,14.93,16.49,14.21,17.62,2.88,6.4,2.27,7.19,-2.71,9.87,11.99,15.5,7.35,7.93,11.32,5.14,-2.44,15.1,15.93
1957,6.32,14.99,8.97,15.45,18.12,4.99,21.03,19.93,14.89,24.16,8.37,0.6,13.85,15.01,16.5,14.23,17.6,3.35,6.61,2.56,7.4,-2.66,10.16,12.22,15.49,7.71,7.94,11.62,4.99,-2.71,15.17,15.92
1958,6.98,15.56,9.97,15.75,18.36,5.56,21.38,20.29,15.3,24.49,9.29,1.12,14.33,15.36,16.86,14.86,17.92,4.23,7.62,3.72,7.93,-1.78,10.52,12.99,15.99,8.33,8.55,12.39,5.46,-1.93,15.63,16.26
1959,6.92,15.98,10.12,15.95,18.65,5.31,21.48,20.23,15.25,24.48,9.5,1.98,14.77,15.8,17.09,15.29,18.24,5.04,8.23,3.86,7.79,-2.28,10.71,13.37,16.43,8.53,8.25,12.64,5.07,-2.45,15.38,16.65
